ID,RANK,SYMBOL,NAME,SUPPLY,MAXSUPPLY,MARKETCAPUSD,VOLUMNUSD24HRS,PRICEUSD,CHANGEDPERCENT24HRS,VWAP24HRS,EXPLORER
bitcoin,1,BTC,Bitcoin,19380193.0000000000000000,21000000.0000000000000000,520574764926.9826366063864557,2597289392.1649695055185017,26861.1754757541700749,-0.8223954943998436,26855.6945808924047451,https://blockchain.info/
ethereum,2,ETH,Ethereum,120269409.4694304300000000,,218004078163.9950712126268754,1467512592.0372690606213680,1812.6311513935422297,-0.2507876472408797,1807.8269900184487374,https://etherscan.io/
tether,3,USDT,Tether,82919078535.2042700000000000,,82903163875.1369149388694906,4562518091.3452326153034005,0.9998080699840315,-0.0408501284214867,0.9994026091884856,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,51213417817.6261059183865676,94428505.7187249460412184,307.0327658513843437,-1.2590552271354890,308.3264677003264642,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin,5,USDC,USD Coin,29547985786.9628500000000000,,29539423998.5776120329840711,309705942.4291186725782842,0.9997102412175582,-0.0463177930573528,0.9997664373708528,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,21049341885.8539469114505120,283626788.6252814782134698,0.4636007534210283,-1.2853298156878949,0.4600959050564299,https://xrpcharts.ripple.com/#/graph/
cardano,7,ADA,Cardano,34863137663.5850000000000000,45000000000.0000000000000000,12692441935.3907005578046515,46282991.7115850791823482,0.3640648199214760,-0.3261701063882446,0.3612738943236675,https://cardanoexplorer.com/
dogecoin,8,DOGE,Dogecoin,139445906383.7052000000000000,,10029562784.1642449538264183,72786045.7436207464051369,0.0719243973829284,-2.5595109774398982,0.0723413235015682,http://dogechain.info/chain/Dogecoin
polygon,9,MATIC,Polygon,9279469069.2849300000000000,10000000000.0000000000000000,7937866808.0596112681528755,53247726.8053740467487801,0.8554225191971353,-2.3315894405720461,0.8612912883302763,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
solana,10,SOL,Solana,396087768.0440765000000000,,7823086788.8908053973648033,77492852.2909324869550427,19.7508921508029382,-2.4601829175135916,19.8029736024733264,https://explorer.solana.com/
tron,11,TRX,TRON,90346655403.2544600000000000,,6765867014.9195660999538592,117076628.9331392114380017,0.0748878526241033,3.3374574704376779,0.0749009845752413,https://tronscan.org/#/
litecoin,12,LTC,Litecoin,72973939.3093235200000000,84000000.0000000000000000,6665607211.2354558132430822,182817775.1072488472682476,91.3422966379975061,-0.9993837594520295,91.9761887368399977,http://explorer.litecoin.net/chain/Litecoin
polkadot,13,DOT,Polkadot,1234641350.2339900000000000,,6548341675.5834689700218923,40982892.7963022645494811,5.3038412121402083,-1.6452660691684532,5.3016151340414738,https://polkascan.io/polkadot
binance-usd,14,BUSD,Binance USD,5499801594.0533760000000000,,5497735372.4296115387191320,100221171.3488173464482337,0.9996243097885570,-0.0306253404030405,0.9999576623305435,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
shiba-inu,15,SHIB,Shiba Inu,589534333568906.2000000000000000,,5062227729.7368234113438797,34312729.0731622221910922,0.0000085868242806,-1.3153167884571935,0.0000085675030700,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
multi-collateral-dai,16,DAI,Multi Collateral DAI,4854516237.3590800000000000,,4857620055.6168103100259682,14141878.5246832616717652,1.0006393671595625,-0.0790074327931638,1.0004541758182746,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
avalanche,17,AVAX,Avalanche,334137203.2993836000000000,720000000.0000000000000000,4811074581.4876701327311164,28549774.4859831606082448,14.3985001789130177,-1.6000871258283129,14.3606732781348164,https://avascan.info/
wrapped-bitcoin,18,WBTC,Wrapped Bitcoin,155648.5848121400000000,,4186037054.8824786985834899,25408077.6990986814502848,26894.1542895157994749,-0.8066177098348529,26849.4589901836385935,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
chainlink,19,LINK,Chainlink,517099970.4527867000000000,1000000000.0000000000000000,3345090041.8241694461559635,50796587.4567897004092499,6.4689426280475674,-0.7052931258228063,6.4343895885461029,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
unus-sed-leo,20,LEO,UNUS SED LEO,930314421.9000000000000000,,3308970810.0893099966520502,248246.5166597999721428,3.5568306071525064,-1.8658211754579681,3.5713303719608174,https://eospark.com/account/bitfinexleo1
